// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0AAO026
SensorType=Q2B0
SensorType2=0101
SensorType3=60
Channel=2
Interval=30
SampleCnt=12389
StartTime=2019/11/27 08:30:00
EndTime=2019/12/01 15:44:00
StopTime=2019/12/01 15:44:09
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2016/07/06
Immersion_Effect=1.4
Ch1=+9.316367e+03,-1.436137e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2019/11/27 12:48:00,14.7,1.6,
2019/11/27 12:48:30,12.4,1.6,
2019/11/27 12:49:00,13.5,1.6,
2019/11/27 12:49:30,12.1,1.6,
2019/11/27 12:50:00,12.4,1.6,
2019/11/27 12:50:30,12.9,1.6,
2019/11/27 12:51:00,14.6,1.6,
2019/11/27 12:51:30,14.2,1.6,
2019/11/27 12:52:00,13.4,1.6,
2019/11/27 12:52:30,13.0,1.6,
2019/11/27 12:53:00,14.7,1.6,
2019/11/27 12:53:30,13.2,1.6,
2019/11/27 12:54:00,14.8,1.6,
2019/11/27 12:54:30,15.0,1.6,
2019/11/27 12:55:00,14.5,1.6,
2019/11/27 12:55:30,13.5,1.6,
2019/11/27 12:56:00,13.4,1.6,
2019/11/27 12:56:30,14.7,1.6,
2019/11/27 12:57:00,14.6,1.6,
2019/11/27 12:57:30,14.5,1.6,
2019/11/27 12:58:00,14.1,1.6,
2019/11/27 12:58:30,12.4,1.6,
2019/11/27 12:59:00,12.1,1.6,
2019/11/27 12:59:30,12.3,1.6,
2019/11/27 13:00:00,12.7,1.6,
2019/11/27 13:00:30,12.5,1.6,
2019/11/27 13:01:00,12.4,1.6,
2019/11/27 13:01:30,14.5,1.6,
2019/11/27 13:02:00,13.9,1.6,
2019/11/27 13:02:30,14.7,1.6,
2019/11/27 13:03:00,13.7,1.6,
2019/11/27 13:03:30,14.9,1.6,
2019/11/27 13:04:00,12.0,1.6,
2019/11/27 13:04:30,14.5,1.6,
2019/11/27 13:05:00,14.4,1.6,
2019/11/27 13:05:30,12.5,1.6,
2019/11/27 13:06:00,14.4,1.6,
2019/11/27 13:06:30,14.8,1.6,
2019/11/27 13:07:00,14.8,1.6,
2019/11/27 13:07:30,12.8,1.6,
2019/11/27 13:08:00,14.5,1.6,
2019/11/27 13:08:30,14.5,1.6,
2019/11/27 13:09:00,11.9,1.6,
2019/11/27 13:09:30,13.0,1.6,
2019/11/27 13:10:00,14.6,1.6,
